C:\Documents and Settings\MoranLab\Desktop\Protocol9ChildData\Dot-Probe1\DotProbeRelationship-91031-1.edat
ExperimentName	Subject	Session	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	Block	Block1	Block1.Cycle	Block1.Sample	Block2	Block2.Cycle	Block2.Sample	Block3	Block3.Cycle	Block3.Sample	Block4	Block4.Cycle	Block4.Sample	correct	duration	pairtype	Practice	Practice.Cycle	Practice.Sample	probe.ACC	probe.CRESP	probe.DurationError	probe.OnsetDelay	probe.OnsetTime	probe.RESP	probe.RT	probe.RTTime	probeL	probeloc	probeR	Procedure	Running	stimL	stimLtype	stimR	stimRtype	trialtype
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	26	21	1	16										q	200	neutral-neutral				1	q	-999999	17	165613	q	436	166049	dot.bmp	left	blank.bmp	trialproc	Block1	11.bmp	neutral	22.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	27	18	1	17										p	1250	hap-neutral				1	p	-999999	3	168853	p	544	169397	blank.bmp	right	dot.bmp	trialproc	Block1	18.bmp	neutral	hap8.bmp	happy	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	28	10	1	18										p	1250	cry-neutral				1	p	-999999	2	172192	p	491	172683	blank.bmp	right	dot.bmp	trialproc	Block1	10.bmp	neutral	cry10.bmp	cry	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	29	30	1	19										p	1250	neutral-neutral				1	p	-999999	2	175465	p	513	175978	blank.bmp	right	dot.bmp	trialproc	Block1	21.bmp	neutral	31.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	30	33	1	20										q	200	baby-neutral				1	q	-999999	1	177720	q	703	178423	dot.bmp	left	blank.bmp	trialproc	Block1	neut3.bmp	baby	24.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	31	37	1	21										q	200	baby-neutral				0	q	-999999	17	180191	p	239	180430	dot.bmp	left	blank.bmp	trialproc	Block1	28.bmp	neutral	neut7.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	32	15	1	22										q	200	hap-neutral				1	q	-999999	1	182212	q	394	182606	dot.bmp	left	blank.bmp	trialproc	Block1	hap5.bmp	happy	15.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	33	4	1	23										p	1250	cry-neutral				1	p	-999999	2	185418	p	653	186071	blank.bmp	right	dot.bmp	trialproc	Block1	cry4.bmp	cry	4.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	34	35	1	24										q	200	baby-neutral				1	q	-999999	1	187823	q	507	188330	dot.bmp	left	blank.bmp	trialproc	Block1	neut5.bmp	baby	26.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	35	2	1	25										p	1250	cry-neutral				1	p	-999999	3	191146	p	449	191595	blank.bmp	right	dot.bmp	trialproc	Block1	cry2.bmp	cry	2.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	36	6	1	26										p	1250	cry-neutral				1	p	-999999	2	194402	p	499	194901	blank.bmp	right	dot.bmp	trialproc	Block1	6.bmp	neutral	cry6.bmp	cry	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	37	25	1	27										q	200	neutral-neutral				1	q	-999999	17	196623	q	672	197295	dot.bmp	left	blank.bmp	trialproc	Block1	15.bmp	neutral	26.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	38	24	1	28										p	1250	neutral-neutral				1	p	-999999	2	200063	p	498	200561	blank.bmp	right	dot.bmp	trialproc	Block1	14.bmp	neutral	25.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	39	17	1	29										q	200	hap-neutral				1	q	-999999	17	202334	q	524	202858	dot.bmp	left	blank.bmp	trialproc	Block1	17.bmp	neutral	hap7.bmp	happy	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	40	40	1	30										p	1250	baby-neutral				1	p	-999999	3	205691	p	611	206302	blank.bmp	right	dot.bmp	trialproc	Block1	31.bmp	neutral	neut10.bmp	baby	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	41	7	1	31										q	200	cry-neutral				1	q	-999999	17	208079	q	535	208614	dot.bmp	left	blank.bmp	trialproc	Block1	7.bmp	neutral	cry7.bmp	cry	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	42	27	1	32										q	200	neutral-neutral				1	q	-999999	1	210350	q	548	210898	dot.bmp	left	blank.bmp	trialproc	Block1	17.bmp	neutral	28.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	43	12	1	33										p	1250	hap-neutral				1	p	-999999	2	213756	p	381	214137	blank.bmp	right	dot.bmp	trialproc	Block1	hap2.bmp	happy	12.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	44	32	1	34										p	1250	baby-neutral				1	p	-999999	2	216929	p	570	217499	blank.bmp	right	dot.bmp	trialproc	Block1	neut2.bmp	baby	23.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	45	26	1	35										p	1250	neutral-neutral				1	p	-999999	3	220286	p	440	220726	blank.bmp	right	dot.bmp	trialproc	Block1	16.bmp	neutral	27.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	46	22	1	36										p	1250	neutral-neutral				1	p	-999999	3	223492	p	437	223929	blank.bmp	right	dot.bmp	trialproc	Block1	12.bmp	neutral	23.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	47	11	1	37										q	200	hap-neutral				1	q	-999999	17	225696	q	449	226145	dot.bmp	left	blank.bmp	trialproc	Block1	hap1.bmp	happy	11.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	48	31	1	38										q	200	baby-neutral				1	q	-999999	16	227900	q	492	228392	dot.bmp	left	blank.bmp	trialproc	Block1	neut1.bmp	baby	22.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	49	8	1	39										p	1250	cry-neutral				1	p	-999999	2	231190	p	509	231699	blank.bmp	right	dot.bmp	trialproc	Block1	8.bmp	neutral	cry8.bmp	cry	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	50	19	1	40										q	200	hap-neutral				1	q	-999999	1	233428	q	542	233970	dot.bmp	left	blank.bmp	trialproc	Block1	20.bmp	neutral	hap9.bmp	happy	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	51				4	1	1							p	200	cry-neutral				1	p	-999999	17	256723	p	465	257188	blank.bmp	right	dot.bmp	trialproc	Block2	14.bmp	neutral	cry4.bmp	cry	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	52				5	1	2							q	1250	cry-neutral				1	q	-999999	3	259946	q	459	260405	dot.bmp	left	blank.bmp	trialproc	Block2	15.bmp	neutral	cry5.bmp	cry	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	53				7	1	3							q	1250	cry-neutral				1	q	-999999	3	263169	q	514	263683	dot.bmp	left	blank.bmp	trialproc	Block2	cry7.bmp	cry	17.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	54				25	1	4							q	1250	neutral-neutral				1	q	-999999	3	266442	q	438	266880	dot.bmp	left	blank.bmp	trialproc	Block2	11.bmp	neutral	13.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	55				11	1	5							q	1250	hap-neutral				1	q	-999999	3	269665	q	530	270195	dot.bmp	left	blank.bmp	trialproc	Block2	22.bmp	neutral	hap1.bmp	happy	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	56				26	1	6							p	200	neutral-neutral				1	p	-999999	17	271919	p	598	272517	blank.bmp	right	dot.bmp	trialproc	Block2	12.bmp	neutral	14.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	57				24	1	7							p	200	neutral-neutral				0	p	-999999	17	274240	q	416	274656	blank.bmp	right	dot.bmp	trialproc	Block2	9.bmp	neutral	10.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	58				33	1	8							q	1250	baby-neutral				1	q	-999999	3	277430	q	552	277982	dot.bmp	left	blank.bmp	trialproc	Block2	3.bmp	neutral	neut3.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	59				12	1	9							p	200	hap-neutral				1	p	-999999	1	279701	p	436	280137	blank.bmp	right	dot.bmp	trialproc	Block2	23.bmp	neutral	hap2.bmp	happy	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	60				21	1	10							q	1250	neutral-neutral				1	q	-999999	3	282924	q	405	283329	dot.bmp	left	blank.bmp	trialproc	Block2	1.bmp	neutral	3.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	61				34	1	11							p	200	baby-neutral				1	p	-999999	17	285061	p	430	285491	blank.bmp	right	dot.bmp	trialproc	Block2	4.bmp	neutral	neut4.bmp	baby	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	62				13	1	12							q	1250	hap-neutral				1	q	-999999	3	288251	q	544	288795	dot.bmp	left	blank.bmp	trialproc	Block2	24.bmp	neutral	hap3.bmp	happy	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	63				38	1	13							p	200	baby-neutral				1	p	-999999	17	290522	p	564	291086	blank.bmp	right	dot.bmp	trialproc	Block2	neut8.bmp	baby	8.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	64				37	1	14							q	1250	baby-neutral				1	q	-999999	3	293845	q	485	294330	dot.bmp	left	blank.bmp	trialproc	Block2	neut7.bmp	baby	7.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	65				1	1	15							q	1250	cry-neutral				1	q	-999999	2	297101	q	550	297651	dot.bmp	left	blank.bmp	trialproc	Block2	11.bmp	neutral	cry1.bmp	cry	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	66				36	1	16							p	200	baby-neutral				1	p	-999999	17	299372	p	720	300092	blank.bmp	right	dot.bmp	trialproc	Block2	neut6.bmp	baby	6.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	67				23	1	17							q	1250	neutral-neutral				1	q	-999999	2	302862	q	563	303425	dot.bmp	left	blank.bmp	trialproc	Block2	4.bmp	neutral	6.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	68				40	1	18							p	200	baby-neutral				1	p	-999999	17	305150	p	776	305926	blank.bmp	right	dot.bmp	trialproc	Block2	neut10.bmp	baby	10.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	69				22	1	19							p	200	neutral-neutral				1	p	-999999	17	307655	p	521	308176	blank.bmp	right	dot.bmp	trialproc	Block2	2.bmp	neutral	5.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	70				16	1	20							p	200	hap-neutral				1	p	-999999	17	309909	p	585	310494	blank.bmp	right	dot.bmp	trialproc	Block2	hap6.bmp	happy	27.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	71				28	1	21							p	200	neutral-neutral				1	p	-999999	1	312214	p	544	312758	blank.bmp	right	dot.bmp	trialproc	Block2	31.bmp	neutral	23.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	72				31	1	22							q	1250	baby-neutral				1	q	-999999	3	315537	q	525	316062	dot.bmp	left	blank.bmp	trialproc	Block2	1.bmp	neutral	neut1.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	73				29	1	23							q	1250	neutral-neutral				1	q	-999999	2	318826	q	465	319291	dot.bmp	left	blank.bmp	trialproc	Block2	29.bmp	neutral	28.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	74				3	1	24							q	1250	cry-neutral				1	q	-999999	2	322049	q	743	322792	dot.bmp	left	blank.bmp	trialproc	Block2	13.bmp	neutral	cry3.bmp	cry	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	75				15	1	25							q	1250	hap-neutral				1	q	-999999	2	325556	q	512	326068	dot.bmp	left	blank.bmp	trialproc	Block2	26.bmp	neutral	hap5.bmp	happy	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	76				10	1	26							p	200	cry-neutral				1	p	-999999	17	327794	p	842	328636	blank.bmp	right	dot.bmp	trialproc	Block2	cry10.bmp	cry	21.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	77				9	1	27							q	1250	cry-neutral				1	q	-999999	3	331401	q	766	332167	dot.bmp	left	blank.bmp	trialproc	Block2	cry9.bmp	cry	20.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	78				18	1	28							p	200	hap-neutral				1	p	-999999	17	333889	p	554	334443	blank.bmp	right	dot.bmp	trialproc	Block2	hap8.bmp	happy	29.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	79				6	1	29							p	200	cry-neutral				1	p	-999999	17	336177	p	668	336845	blank.bmp	right	dot.bmp	trialproc	Block2	cry6.bmp	cry	16.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	80				39	1	30							q	1250	baby-neutral				1	q	-999999	3	339617	q	527	340144	dot.bmp	left	blank.bmp	trialproc	Block2	neut9.bmp	baby	9.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	81				8	1	31							p	200	cry-neutral				1	p	-999999	17	341871	p	486	342357	blank.bmp	right	dot.bmp	trialproc	Block2	cry8.bmp	cry	18.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	82				30	1	32							p	200	neutral-neutral				1	p	-999999	17	344092	p	555	344647	blank.bmp	right	dot.bmp	trialproc	Block2	27.bmp	neutral	15.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	83				19	1	33							q	1250	hap-neutral				1	q	-999999	2	347415	q	470	347885	dot.bmp	left	blank.bmp	trialproc	Block2	hap9.bmp	happy	30.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	84				2	1	34							p	200	cry-neutral				1	p	-999999	1	349603	p	973	350576	blank.bmp	right	dot.bmp	trialproc	Block2	12.bmp	neutral	cry2.bmp	cry	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	85				17	1	35							q	1250	hap-neutral				1	q	-999999	2	353343	q	352	353695	dot.bmp	left	blank.bmp	trialproc	Block2	hap7.bmp	happy	28.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	86				20	1	36							p	200	hap-neutral				1	p	-999999	17	355431	p	451	355882	blank.bmp	right	dot.bmp	trialproc	Block2	hap10.bmp	happy	31.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	87				32	1	37							p	200	baby-neutral				1	p	-999999	1	357602	p	471	358073	blank.bmp	right	dot.bmp	trialproc	Block2	2.bmp	neutral	neut2.bmp	baby	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	88				14	1	38							p	200	hap-neutral				1	p	-999999	17	359806	p	526	360332	blank.bmp	right	dot.bmp	trialproc	Block2	25.bmp	neutral	hap4.bmp	happy	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	89				27	1	39							q	1250	neutral-neutral				1	q	-999999	3	363096	q	629	363725	dot.bmp	left	blank.bmp	trialproc	Block2	21.bmp	neutral	22.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	90				35	1	40							q	1250	baby-neutral				1	q	-999999	2	366485	q	532	367017	dot.bmp	left	blank.bmp	trialproc	Block2	5.bmp	neutral	neut5.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	91							15	1	1				q	1250	hap-neutral				1	q	-999999	2	387877	q	484	388361	dot.bmp	left	blank.bmp	trialproc	Block3	5.bmp	neutral	hap4.bmp	happy	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	92							33	1	2				q	1250	baby-neutral				1	q	-999999	2	391116	q	482	391598	dot.bmp	left	blank.bmp	trialproc	Block3	13.bmp	neutral	neut2.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	93							23	1	3				q	1250	neutral-neutral				1	q	-999999	2	394356	q	484	394840	dot.bmp	left	blank.bmp	trialproc	Block3	23.bmp	neutral	6.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	94							9	1	4				q	1250	cry-neutral				1	q	-999999	2	397612	q	419	398031	dot.bmp	left	blank.bmp	trialproc	Block3	cry8.bmp	cry	29.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	95							19	1	5				q	1250	hap-neutral				1	q	-999999	3	400802	q	476	401278	dot.bmp	left	blank.bmp	trialproc	Block3	hap8.bmp	happy	9.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	96							7	1	6				q	1250	cry-neutral				1	q	-999999	3	404042	q	555	404597	dot.bmp	left	blank.bmp	trialproc	Block3	cry6.bmp	cry	27.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	97							14	1	7				p	200	hap-neutral				1	p	-999999	1	406313	p	520	406833	blank.bmp	right	dot.bmp	trialproc	Block3	4.bmp	neutral	hap3.bmp	happy	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	98							8	1	8				p	200	cry-neutral				1	p	-999999	17	408567	p	452	409019	blank.bmp	right	dot.bmp	trialproc	Block3	cry7.bmp	cry	28.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	99							17	1	9				q	1250	hap-neutral				1	q	-999999	3	411807	q	504	412311	dot.bmp	left	blank.bmp	trialproc	Block3	hap6.bmp	happy	7.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	100							31	1	10				q	1250	baby-neutral				1	q	-999999	3	415080	q	521	415601	dot.bmp	left	blank.bmp	trialproc	Block3	11.bmp	neutral	neut10.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	101							40	1	11				p	200	baby-neutral				1	p	-999999	17	417334	p	582	417916	blank.bmp	right	dot.bmp	trialproc	Block3	neut9.bmp	baby	31.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	102							25	1	12				q	1250	neutral-neutral				1	q	-999999	3	420674	q	606	421280	dot.bmp	left	blank.bmp	trialproc	Block3	25.bmp	neutral	10.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	103							6	1	13				p	200	cry-neutral				1	p	-999999	17	423012	p	530	423542	blank.bmp	right	dot.bmp	trialproc	Block3	cry5.bmp	cry	26.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	104							30	1	14				p	200	neutral-neutral				1	p	-999999	17	425266	p	599	425865	blank.bmp	right	dot.bmp	trialproc	Block3	27.bmp	neutral	20.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	105							32	1	15				p	200	baby-neutral				1	p	-999999	17	427587	p	548	428135	blank.bmp	right	dot.bmp	trialproc	Block3	12.bmp	neutral	neut1.bmp	baby	congruent
